#[Manufacturer]; [Hostname]; [Delta t]; [Date]; [Mode]; [File Version]
Thorlabs; PM5020_5E; 10 ms; 2026-07-15T05:11:36; CW; 1

#[Ch];[Name];[Serial];[Type];[Wavelength];[Range];[Attenuation];[Unit]
0; S425C-L; 1932731; Thermopile;1064 nm; manual; 0 dB; W
1; S120VC; 230131112; Photodiode;1064 nm; auto; 0 dB; W

#[ms]; [Ch: 1]; [Ch: 2]
      4530; 1.074527E+00 ; 6.641176E-05 
      4540; 1.075822E+00 ; 6.534810E-05 
      4550; 1.073799E+00 ; 6.479416E-05 
      4560; 1.075030E+00 ; 6.638847E-05 
      4570; 1.073125E+00 ; 6.703576E-05 
      4580; 1.074455E+00 ; 6.653000E-05 
      4590; 1.073865E+00 ; 6.527753E-05 
      4600; 1.073431E+00 ; 6.477985E-05 
      4610; 1.074460E+00 ; 6.646552E-05 
      4620; 1.074430E+00 ; 6.711845E-05 
      4630; 1.073184E+00 ; 6.639810E-05 
      4640; 1.075635E+00 ; 6.525478E-05 
      4650; 1.074017E+00 ; 6.482807E-05 
      4660; 1.075019E+00 ; 6.644367E-05 
      4670; 1.075303E+00 ; 6.699133E-05 
      4680; 1.073912E+00 ; 6.646298E-05 
      4690; 1.075292E+00 ; 6.519018E-05 
      4700; 1.074097E+00 ; 6.489521E-05 
      4710; 1.072699E+00 ; 6.652976E-05 
      4720; 1.075089E+00 ; 6.719015E-05 
      4730; 1.073834E+00 ; 6.639342E-05 
      4740; 1.073117E+00 ; 6.515846E-05 
      4750; 1.074748E+00 ; 6.486085E-05 
      4760; 1.071468E+00 ; 6.647439E-05 
      4770; 1.072959E+00 ; 6.708936E-05 
      4780; 1.073037E+00 ; 6.643082E-05 
      4790; 1.071452E+00 ; 6.513705E-05 
      4800; 1.072831E+00 ; 6.491888E-05 
      4810; 1.070482E+00 ; 6.647287E-05 
      4830; 1.071805E+00 ; 6.631661E-05 
      4840; 1.070199E+00 ; 6.509743E-05 
      4850; 1.071078E+00 ; 6.490657E-05 
      4860; 1.070835E+00 ; 6.645057E-05 
      4870; 1.069697E+00 ; 6.709606E-05 
      4880; 1.069816E+00 ; 6.638671E-05 
      4890; 1.070710E+00 ; 6.513793E-05 
      4900; 1.069283E+00 ; 6.483157E-05 
      4910; 1.070129E+00 ; 6.656312E-05 
      4920; 1.071127E+00 ; 6.722459E-05 
      4930; 1.069479E+00 ; 6.633907E-05 
      4940; 1.070419E+00 ; 6.517119E-05 
      4950; 1.071581E+00 ; 6.489707E-05 
      4960; 1.069731E+00 ; 6.644594E-05 
      4970; 1.071365E+00 ; 6.710750E-05 
      4980; 1.071725E+00 ; 6.631016E-05 
      4990; 1.069788E+00 ; 6.517555E-05 
      5000; 1.071717E+00 ; 6.489141E-05 
      5010; 1.072628E+00 ; 6.648705E-05 
      5020; 1.071968E+00 ; 6.719487E-05 
      5030; 1.072467E+00 ; 6.624388E-05 
      5040; 1.074456E+00 ; 6.507808E-05 
      5050; 1.073567E+00 ; 6.501108E-05 
      5070; 1.073516E+00 ; 6.713114E-05 
      5080; 1.073894E+00 ; 6.625715E-05 
      5090; 1.074794E+00 ; 6.515604E-05 
      5100; 1.074027E+00 ; 6.494451E-05 
      5110; 1.074876E+00 ; 6.649007E-05 
      5120; 1.074699E+00 ; 6.713685E-05 
      5130; 1.074711E+00 ; 6.623010E-05 
      5140; 1.074515E+00 ; 6.522980E-05 
      5170; 1.077290E+00 ; 6.715232E-05 
      5180; 1.076510E+00 ; 6.619756E-05 
      5190; 1.075618E+00 ; 6.523414E-05 
      5200; 1.077554E+00 ; 6.499496E-05 
